Time,Force,Jaw,Strain,Stress,TC1
(sec),(kN),(mm),,(MPa),(C)
0,0.66091657000000004,1.6699289000000001E-3,0.000172,8.2175454999999999,849.47844999999995
0.000500,0.82247716000000004,6.4505333999999998E-3,0.000449,10.370272999999999,849.48163
0.001000,0.86505609999999999,4.1637727999999999E-3,0.000018,11.028257,849.48473999999999
1.5E-3,0.87744849999999996,0.000282,0.000279,11.13987,849.48792000000003
2E-3,0.78816461999999998,5.3557442E-3,0.000440,10.205341000000001,849.49103000000002
2.5000000000000001E-3,0.7252537,1.9307783000000001E-3,0.000070,9.3719748999999997,849.49419999999998
3.0000000000000001E-3,0.70213634000000003,3.8920268000000001E-3,0.000485,9.0352116000000002,849.49730999999997
3.5000000000000001E-3,0.69321524999999995,6.9518102999999998E-3,0.000423,8.8853664000000006,849.50049000000001
4.0000000000000001E-3,0.69697940000000003,0.000526,0.000191,8.9107980999999992,849.50360000000001
4.4999999999999997E-3,0.69919366000000005,4.7811455999999999E-3,0.000498,8.8748301999999999,849.52057000000002
5.0000000000000001E-3,0.68716359000000005,6.3041280999999996E-3,0.000278,8.7229756999999992,849.55835000000002
5.4999999999999997E-3,0.69029450000000003,1.2939958999999999E-3,0.000392,8.7139977999999996,849.59607000000005
6.0000000000000001E-3,0.69902973999999996,5.7893553999999996E-3,0.000542,8.8468513000000009,849.63378999999998
6.4999999999999997E-3,0.69628011999999995,3.8484875E-3,0.000016,8.8137273999999994,849.67156999999997
7.0000000000000001E-3,0.69409584999999996,1.3403880000000001E-3,0.000360,8.8392029000000001,849.70929000000001
7.4999999999999997E-3,0.68381809999999998,6.3697221E-3,0.000581,8.777317,849.74701000000005
8.0000000000000002E-3,0.69218493000000003,2.0805602E-3,0.000123,8.7542819999999999,849.78472999999997
8.5000000000000006E-3,0.69218290000000005,3.3091157999999999E-3,0.000481,8.8733740000000001,849.82250999999997
8.9999999999999993E-3,1.2628063,1.2446301000000001E-3,0.000282,15.591578999999999,849.86023
9.4999999999999998E-3,0.93723398000000002,8.9483475000000003E-3,0.000607,12.168810000000001,849.89795000000004
0.01,0.65633529000000002,1.6496548E-3,0.000153,8.5741949000000002,849.93573000000004
1.0500000000000001E-2,0.56833065000000005,5.6876857000000003E-3,0.000160,7.2782315999999998,849.97344999999996
1.0999999999999999E-2,0.53201920000000003,0.000726,0.000258,6.7798238,850.01116999999999
1.15E-2,0.51771604999999998,4.7542034000000004E-3,0.000368,6.5139111999999999,850.04894999999999
1.2E-2,0.62146014000000005,2.639733E-3,0.000075,7.7822170000000002,850.08667000000003
1.2500000000000001E-2,0.68869930999999995,0.000197,0.000234,8.6474685999999998,850.12438999999995
1.2999999999999999E-2,0.70168644000000002,4.4645630000000004E-3,0.000369,8.9144839999999999,850.16210999999998
1.35E-2,0.70365781000000005,1.0187746000000001E-3,0.000023,8.9530621000000004,850.19988999999998
1.4E-2,0.71002047999999995,3.4134070999999998E-3,0.000438,9.0803508999999991,850.23761000000002
1.4500000000000001E-2,0.72214948999999995,4.5416118000000004E-3,0.000182,9.2623463000000008,850.24329
1.4999999999999999E-2,0.71318185000000001,0.000586,0.000101,9.1183729000000007,850.20081000000005
1.55E-2,0.70290673000000004,5.4121114999999996E-3,0.000479,8.9899292000000006,850.15839000000005
1.6E-2,0.70428246000000005,5.5700704E-3,0.000104,8.9038018999999995,850.11590999999999
1.6500000000000001E-2,0.71273600999999998,0.000435,0.000284,9.0299349000000007,850.07343000000003
1.7000000000000001E-2,0.7078951,5.4323883000000003E-3,0.000469,9.0192870999999997,850.03101000000004
1.7500000000000002E-2,0.68427925999999994,4.0122736000000004E-3,0.000025,8.7552289999999999,849.98852999999997
1.7999999999999999E-2,0.69522362999999998,1.5223556E-3,0.000393,8.8716431,849.94610999999998
1.8499999999999999E-2,0.71211088,1.0238139E-2,0.000567,9.0053853999999998,849.90363000000002
1.9E-2,0.13345897000000001,3.3520825999999999E-3,0.000259,2.1450795999999999,849.86114999999995
1.95E-2,0.45831897999999999,1.0128240000000001E-3,0.000067,5.6077914,849.81872999999996
0.02,0.76023728000000002,1.9788784E-3,0.000044,9.4095592000000003,849.77625
2.0500000000000001E-2,0.88171922999999996,0.000975,0.000255,11.122845999999999,849.73383000000001
2.1000000000000001E-2,0.90602994000000003,6.3361082999999997E-3,0.000550,11.509175000000001,849.69135000000006
2.1499999999999998E-2,0.90396339000000003,4.0369066E-3,0.000038,11.571367,849.64886000000001
2.1999999999999999E-2,0.79986464999999995,1.1686693999999999E-3,0.000168,10.32016,849.60645
2.2499999999999999E-2,0.74887495999999998,5.7815471999999998E-3,0.000517,9.5977630999999999,849.56395999999995
2.3E-2,0.72784424000000003,3.2921534000000001E-3,0.000078,9.3144293000000005,849.52155000000005
2.35E-2,0.71053332000000002,2.4259058000000002E-3,0.000443,9.1164436000000002,849.47906
2.4E-2,0.70697456999999997,6.2394282000000001E-3,0.000485,8.9649677000000008,849.43658000000005
2.4500000000000001E-2,0.7184391,1.3946596999999999E-3,0.000159,9.0731859000000004,849.41052000000002
2.5000000000000001E-2,0.71644693999999998,4.1804913999999999E-3,0.000435,9.2016829999999992,849.40894000000003
2.5499999999999998E-2,0.71010357000000002,6.3300416999999996E-3,0.000287,9.0578213000000005,849.40734999999995
2.5999999999999999E-2,0.70763171000000002,0.000356,0.000288,9.0065079000000008,849.40575999999999
2.6499999999999999E-2,0.71346980000000004,5.0250733999999998E-3,0.000510,9.1523933,849.40423999999996
